Series_reference,Period,Data_value,STATUS,UNITS
MFGQ.SFA1CT,1998.03,3080.196,R,Dollars
MFGQ.SFA1CT,1998.06,3070.561,R,Dollars
MFGQ.SFA1CT,1998.09,2968.205,R,Dollars
MFGQ.SFA1CT,1998.12,2807.548,R,Dollars
MFGQ.SFA1CT,1999.03,2745.951,R,Dollars
MFGQ.SFA1CT,1999.06,2836.171,R,Dollars
MFGQ.SFA1CT,1999.09,3005.193,R,Dollars
MFGQ.SFA1CT,1999.12,3179.728,R,Dollars
MFGQ.SFA1CT,2000.03,3286.87,R,Dollars
MFGQ.SFA1CT,2000.06,3367.314,R,Dollars
MFGQ.SFA1CT,2000.09,3617.663,R,Dollars
MFGQ.SFA1CT,2000.12,4046.794,R,Dollars
MFGQ.SFA1CT,2001.03,4302.302,R,Dollars
MFGQ.SFA1CT,2001.06,4146.275,R,Dollars
MFGQ.SFA1CT,2001.09,4073.545,R,Dollars
MFGQ.SFA1CT,2001.12,4259.307,R,Dollars
MFGQ.SFA1CT,2002.03,4277.08,R,Dollars
MFGQ.SFA1CT,2002.06,4139.371,R,Dollars
MFGQ.SFA1CT,2002.09,4427.753,R,Dollars
MFGQ.SFA1CT,2002.12,4141.954,R,Dollars
MFGQ.SFA1CT,2003.03,3960.236,R,Dollars
MFGQ.SFA1CT,2003.06,3940.98,R,Dollars
MFGQ.SFA1CT,2003.09,4029.417,R,Dollars
MFGQ.SFA1CT,2003.12,4115.401,R,Dollars
MFGQ.SFA1CT,2004.03,4227.411,R,Dollars
MFGQ.SFA1CT,2004.06,4325.165,R,Dollars
MFGQ.SFA1CT,2004.09,4343.347,R,Dollars
MFGQ.SFA1CT,2004.12,4368.293,R,Dollars
MFGQ.SFA1CT,2005.03,4355.888,R,Dollars
MFGQ.SFA1CT,2005.06,4274.299,R,Dollars
MFGQ.SFA1CT,2005.09,4287.575,R,Dollars
MFGQ.SFA1CT,2005.12,4383.694,R,Dollars
MFGQ.SFA1CT,2006.03,4580.445,R,Dollars
MFGQ.SFA1CT,2006.06,4986.197,R,Dollars
MFGQ.SFA1CT,2006.09,5142.919,R,Dollars
MFGQ.SFA1CT,2006.12,4867.226,R,Dollars
MFGQ.SFA1CT,2007.03,4736.737,R,Dollars
MFGQ.SFA1CT,2007.06,5002.551,R,Dollars
MFGQ.SFA1CT,2007.09,5413.77,R,Dollars
MFGQ.SFA1CT,2007.12,5869.399,R,Dollars
MFGQ.SFA1CT,2008.03,6080.376,R,
MFGQ.SFA1CT,2008.06,6144.174,R,Dollars
MFGQ.SFA1CT,2008.09,6412.809,R,Dollars
MFGQ.SFA1CT,2008.12,6789.265,R,Dollars
MFGQ.SFA1CT,2009.03,6614.237,R,Dollars
MFGQ.SFA1CT,2009.06,5984.651,R,Dollars
MFGQ.SFA1CT,2009.09,5425.8,R,Dollars
MFGQ.SFA1CT,2009.12,5352.751,R,Dollars
MFGQ.SFA1CT,2010.03,5804.753,R,Dollars
MFGQ.SFA1CT,2010.06,6264.981,R,Dollars
MFGQ.SFA1CT,2010.09,6476.39,R,Dollars
MFGQ.SFA1CT,2010.12,6577.896,R,Dollars
MFGQ.SFA1CT,2011.03,6852.011,R,Dollars
MFGQ.SFA1CT,2011.06,7033.252,R,Dollars
MFGQ.SFA1CT,2011.09,7098.48,R,Dollars
MFGQ.SFA1CT,2011.12,6933.448,R,Dollars
MFGQ.SFA1CT,2012.03,6765.771,R,Dollars
MFGQ.SFA1CT,2012.06,6855.706,R,Dollars
MFGQ.SFA1CT,2012.09,6912.408,R,Dollars
MFGQ.SFA1CT,2012.12,6773.935,R,Dollars
MFGQ.SFA1CT,2013.03,6673.09,R,Dollars
MFGQ.SFA1CT,2013.06,6848.009,R,Dollars
MFGQ.SFA1CT,2013.09,7483.725,R,Dollars
MFGQ.SFA1CT,2013.12,8330.121,R,Dollars
MFGQ.SFA1CT,2014.03,8510.732,R,Dollars
MFGQ.SFA1CT,2014.06,8045.081,R,Dollars
MFGQ.SFA1CT,2014.09,7554.614,R,Dollars
MFGQ.SFA1CT,2014.12,7288.7,R,Dollars
MFGQ.SFA1CT,2015.03,7147.642,R,Dollars
MFGQ.SFA1CT,2015.06,7214.454,R,Dollars
MFGQ.SFA1CT,2015.09,7284.34,R,Dollars
MFGQ.SFA1CT,2015.12,7126.745,R,Dollars
MFGQ.SFA1CT,2016.03,6850.173,R,Dollars
MFGQ.SFA1CT,2016.06,6764.929,R,Dollars
MFGQ.SFA1CT,2016.09,6822.645,R,Dollars
MFGQ.SFA1CT,2016.12,7019.587,R,Dollars
MFGQ.SFA1CT,,7437.37,R,Dollars
MFGQ.SFA1CT,2017.06,7907.067,R,Dollars
MFGQ.SFA1CT,2017.09,8268.953,R,Dollars
MFGQ.SFA1CT,2017.12,8247.742,R,Dollars
MFGQ.SFA1CT,2018.03,8167.343,R,Dollars
MFGQ.SFA1CT,2018.06,8252.501,R,Dollars
MFGQ.SFA1CT,2018.09,8371.256,R,Dollars
MFGQ.SFA1CT,2018.12,8470.238,R,Dollars
MFGQ.SFA1CT,2019.03,8592.272,R,Dollars
MFGQ.SFA1CT,2019.06,8663.295,R,Dollars
MFGQ.SFA1CT,2019.09,8936.733,R,Dollars
MFGQ.SFA1CT,2019.12,9384.731,R,Dollars
MFGQ.SFA1CT,2020.03,9521.176,R,Dollars
MFGQ.SFA1CT,2020.06,,C,Dollars
MFGQ.SFA1CT,,,C,Dollars
MFGQ.SFA1CT,2020.12,,C,Dollars
MFGQ.SFA1CT,2021.03,,C,Dollars
MFGQ.SFA1CT,2021.06,,C,Dollars
MFGQ.SFA1KA,1994.06,4018.865,F,Dollars
MFGQ.SFA1KA,1994.09,2719.125,F,Dollars
MFGQ.SFA1KA,1994.12,4987.594,F,Dollars
MFGQ.SFA1KA,1995.03,5217.315,F,Dollars
MFGQ.SFA1KA,1995.06,4419.881,F,Dollars
MFGQ.SFA1KA,1995.09,3229.282,F,Dollars
MFGQ.SFA1KA,1995.12,5191.707,F,Dollars
MFGQ.SFA1KA,1996.03,6193.104,F,Dollars
MFGQ.SFA1KA,1996.06,4957.146,F,Dollars
MFGQ.SFA1KA,1996.09,2992.907,F,Dollars
MFGQ.SFA1KA,1996.12,5313.721,F,Dollars
